"Area","Page / Report","Source / Upload Type","What the system checks","Trusted for calculations?","Result / Flag shown","Notes to amend"
"Upload control","Upload Centre","All CSV/XLSX uploads","File type is allowed, file is stored, upload batch is created, row counts are tracked, accepted and rejected rows are recorded","Yes for audit trail","Upload batch status, row count, accepted rows, rejected rows, error summary","Every import should stay tied to an upload batch"
"Authentication","Login / all admin pages","Super Admin user","Only the Super Admin can access the system; no agent login is included","Yes","Unauthenticated users are blocked","Keep this as Super Admin only for now"
"Master bookings","Bookings","Master Booking Report","Booking Reference is used as the main booking key","Yes for booking framework only","Creates or updates booking records","Master report is not the trusted source for receipts, supplier paid, or profit"
"Master bookings","Bookings","Master Booking Report","Short numeric references are converted to OTC format, for example 3 becomes OTC-00003 and 102 becomes OTC-00102","Yes for matching","Normalised booking reference","This helps match old human reports to system records"
"Master bookings","Bookings","Master Booking Report","Status is normalised, for example CHG/changed becomes amended/live and CAN/cancelled becomes cancelled","Yes for status review","Normalised booking status","Add more status codes here if Traveltek uses other abbreviations"
"Master bookings","Bookings","Master Booking Report","Gross booking value is stored from Total Cost/Gross","Yes for booking value","Gross booking value","Used as booking value, not as money received"
"Master bookings","Bookings","Master Booking Report","Expected supplier nett is stored from Nett","Yes for expected supplier cost","Expected supplier nett","Supplier paid itself still comes from TAPs, not the master report"
"Master bookings","Bookings","Master Booking Report","Outstanding customer and supplier figures can be stored for comparison only","Comparison only","Imported outstanding values","Do not use these as the trusted money position"
"Master bookings","Bookings","Master Booking Report","Total Received, Paid supplier, and projected profit are excluded from trusted logic","No","Not used for trust/profit authority","This protects against relying on Traveltek finance fields"
"Master bookings","Bookings / ATOL","Elements field is checked for flight, accommodation, cruise, extras, and package indicators","Review logic","Product flags and ATOL review status","Element wording may need expanding over time"
"ATOL / compliance","Bookings / reports / exceptions","Master Booking Report","Flight plus accommodation is marked ATOL required; flight plus another element is marked for ATOL review","Review logic","ATOL required or ATOL review","This is a review flag, not legal advice"
"Company split","Bookings","Booking Reference","OTC references are marked OTC; LeMieux-style references are marked LeMieux/review","Yes for filtering/reporting","Booking company","Add exact LeMieux prefixes if needed"
"Supplier payments TAPs","Supplier Payments TAPs","Supplier Payment Report / TAPs","TAPs exports with date/blank lines before the header are detected automatically","Yes for supplier paid authority","Rows imported successfully","This prevents the missing booking ref/payment value error"
"Supplier payments TAPs","Supplier Payments TAPs","Supplier Payment Report / TAPs","Each supplier payment line is stored separately, not merged","Yes","Individual supplier payment rows","Important where a booking has multiple supplier payments"
"Supplier payments TAPs","Supplier Payments TAPs","Supplier Payment Report / TAPs","Payment rows are matched to bookings by Booking Reference","Yes","Matched or unmatched","Unmatched rows become exceptions"
"Supplier payments TAPs","Supplier Payments TAPs / exceptions","Supplier Payment Report / TAPs","Duplicate supplier payments are detected using source, booking ref, supplier, payment date, method, amount, and VAT","Yes","Duplicate flag / exception","Useful because TAPs may not give a unique ID"
"Supplier payments TAPs","Supplier Payments TAPs","Supplier Payment Report / TAPs","Expected Supplier Nett minus TAPs supplier payments equals supplier balance due","Yes","Paid in full, partial, unpaid, overpaid, variance","TAPs is treated as actual supplier payment source"
"Supplier payments TAPs","Exceptions","Supplier Payment Report / TAPs","Supplier paid more than expected supplier nett is flagged","Yes","Supplier overpaid exception","Insurance costs are also considered in exception logic where active"
"Supplier payments TAPs","Exceptions","Supplier Payment Report / TAPs","Supplier balance still due after departure is flagged","Yes","Supplier balance due after departure exception","Helps find late supplier liabilities"
"Supplier payments TT","Supplier Payments TT","Supplier Payments TT human input","TT supplier payment rows are stored separately from TAPs","Comparison only","TT supplier payment total","Used to cross-check human-entered values against actual TAPs"
"Supplier payments cross-check","Supplier Payments","TAPs and TT supplier payments","TAPs total is compared with TT human input total by booking","TAPs trusted, TT comparison only","Supplier cross-check variance","Shows where human input differs from actual supplier payments"
"Customer payments SINGs","Customer Payments","Felloh/SINGs API or CSV","SINGs/Felloh customer receipts are treated as trusted customer payment source","Yes","Customer payment rows","This is the trusted customer receipt source"
"Customer payments SINGs","Customer Payments","Felloh/SINGs API or CSV","Payments are matched by booking reference first","Yes","Matched by booking ref or unmatched","Unmatched receipts need review"
"Customer payments SINGs","Customer Payments","Felloh/SINGs API or CSV","If no booking ref exists, customer name plus amount/date can be used as lower confidence matching","Lower confidence","Lower confidence match","These should be reviewed before relying on them"
"Customer payments SINGs","Customer Payments","Felloh/SINGs API or CSV","Actual card fee is used where provided","Yes","Actual fee total","Actual fee always beats estimated fee"
"Customer payments SINGs","Customer Payments / exceptions","Felloh/SINGs API or CSV","If actual fee is missing, estimated fee can be calculated from payment method rules","Estimated only","Estimated fee flag / exception","Estimated fees should be replaced when actual fees are available"
"Customer payments TT","Customer Payments","Customer Payments TT human input / Bank Master Data.xlsx","TT spreadsheet reads Booking Reference, Customer, Txn. Date, Booking Credit, Payment Methods, Handling Fee, and Merchant Fee","Comparison only","TT customer payment total","Used to cross-check human input against SINGs"
"Customer payments cross-check","Customer Payments","SINGs and TT customer payments","SINGs gross total is compared with TT gross total","SINGs trusted, TT comparison only","Source variance","Shows where human input differs from actual receipts"
"Customer payments cross-check","Booking Checks","SINGs and Traveltek","SINGs gross total is compared with Traveltek Total Amount Paid only","SINGs trusted, Traveltek paid comparison only","SINGs vs Traveltek Paid","SINGs does not hold the full amount due, so it is not compared with Traveltek Total Cost"
"Bank / trust","Bank Transactions / Trust Reconciliation","Bank / Trust Statement","Bank transaction date is required and at least one money field must exist","Yes for actual bank position","Bank transaction row or rejected row","Use this for actual trust balance"
"Bank / trust","Bank Transactions / exceptions","Bank / Trust Statement","Bank transactions are checked for duplicates","Yes","Duplicate bank transaction exception","Duplicate matching uses date, description, money in/out, balance, account type, and reference"
