"Booking Ref","Example Area","Example Field / Check","Example Value","Populated From Report / Upload","Source Column(s)","Trusted For Calculations?","Current System Behaviour","Expected Result / Flag","Amend Behaviour Notes"
"OTC-01436","Booking identity","Booking reference","OTC-01436","Master Booking Report","Booking Reference / Ref.","Yes - main matching key","Creates or updates the booking record; all other reports try to match this reference","Booking exists in system",""
"OTC-01436","Booking identity","Company split","OTC","Booking Reference","Booking Reference starts with OTC","Yes - reporting/filtering","Marks booking company as OTC","Company = OTC",""
"OTC-01436","Booking details","Imported status","changed","Master Booking Report","Status","Yes - status only","Normalises changed/CHG to amended/live","Status = amended/live",""
"OTC-01436","Booking details","Customer last name","Dempsey","Master Booking Report","Last Name / Customer","Yes - booking details","Stores customer surname for searching and reporting","Customer = Dempsey",""
"OTC-01436","Booking details","Destination","Majorca","Master Booking Report","Destination","Yes - booking details","Stores destination for booking list and reports","Destination = Majorca",""
"OTC-01436","Booking details","Elements","packages","Master Booking Report","Elements","Review logic","Parses flight/accommodation/cruise/extras/package flags for ATOL review","Package flag = yes; ATOL review",""
"OTC-01436","Booking dates","Departure date","19/08/2025","Master Booking Report","Departure Date / Depart","Yes - booking dates","Stores departure date and uses it for overdue supplier/refund checks","Departure date stored",""
"OTC-01436","Booking dates","Return date","02/09/2025","Master Booking Report","Returned Date / Return Date","Yes - booking dates","Stores return date for reporting","Return date stored",""
"OTC-01436","Booking dates","Date booked","01/01/2025 08:57","Master Booking Report","Date Booked / Booked","Yes - booking dates","Stores booking date for reporting and movement tracking","Booking date stored",""
"OTC-01436","Booking dates","Customer balance due date","08/07/2025","Master Booking Report","Due Date","Review logic","Stores due date for review/reporting","Due date stored",""
"OTC-01436","Booking value","Gross booking value","3800.00","Master Booking Report","Total Cost / Gross","Yes - booking value","Stores gross booking value; does not treat it as cash received","Gross booking value = 3800.00",""
"OTC-01436","Supplier expected cost","Expected supplier nett","3694.16","Master Booking Report","Nett","Yes - expected supplier cost","Stores expected supplier nett for supplier reconciliation","Expected supplier nett = 3694.16",""
"OTC-01436","Comparison only","Imported customer outstanding","0.00","Master Booking Report","Outstanding / Balance","Comparison only","Stored only for comparison; does not drive trust logic","Comparison value only",""
"OTC-01436","Comparison only","Imported supplier outstanding","0.00","Master Booking Report","Outstanding (Supplier)","Comparison only","Stored only for comparison; does not prove supplier has been paid","Comparison value only",""
"OTC-01436","Excluded master finance","Master report total received","3800.00","Master Booking Report","Total Received / Paid","No","Not used as trusted customer receipt source","Ignored for trust calculation",""
